movieId,userId,rating,timestamp,label,releaseYear,movieGenre1,movieGenre2,movieGenre3,movieRatingCount,movieAvgRating,movieRatingStddev,userRatedMovie1,userRatedMovie2,userRatedMovie3,userRatedMovie4,userRatedMovie5,userRatingCount,userAvgReleaseYear,userReleaseYearStddev,userAvgRating,userRatingStddev,userGenre1,userGenre2,userGenre3,userGenre4,userGenre5
10,5925,3.5,1111476814,1,1995,Action,Adventure,Thriller,6330,3.42,0.87,25,161,95,163,333,36,1992,9.46,3.50,1.22,Action,Thriller,Drama,Comedy,Adventure
104,20428,4.0,853612562,1,1996,Comedy,"","",3954,3.40,1.06,786,788,494,733,95,9,1996,0.00,3.44,1.01,Action,Thriller,Adventure,Romance,Comedy
11,23843,4.0,839631197,1,1995,Comedy,Drama,Romance,3846,3.69,0.88,440,527,586,39,266,52,1993,1.59,3.54,1.16,Drama,Thriller,Comedy,Romance,Adventure
110,16250,5.0,837515641,1,1995,Action,Drama,War,11637,4.04,0.97,339,10,457,593,318,26,1993,1.70,3.15,0.97,Adventure,Drama,Thriller,Action,Crime
110,22596,5.0,835734920,1,1995,Action,Drama,War,11637,4.04,0.97,339,457,593,161,318,15,1993,1.92,3.60,0.91,Drama,Thriller,Adventure,Crime,IMAX
110,4032,3.5,1360804048,1,1995,Action,Drama,War,11637,4.04,0.97,296,593,926,910,912,34,1974,21.83,4.18,0.70,Drama,Comedy,Romance,Thriller,Crime
110,675,5.0,866568538,1,1995,Action,Drama,War,11637,4.04,0.97,50,111,593,318,47,40,1993,5.56,3.27,0.85,Thriller,Drama,Crime,Mystery,Romance
151,23843,4.0,839631253,1,1995,Action,Drama,Romance,2767,3.57,0.92,337,2,350,11,440,61,1993,1.51,3.57,1.13,Drama,Thriller,Comedy,Romance,Adventure
153,16576,3.0,835019560,0,1995,Action,Adventure,Comedy,7100,2.89,0.95,590,150,380,"","",5,1992,2.70,3.60,0.55,Adventure,Drama,Action,Comedy,Romance
153,19338,4.0,829733584,1,1995,Action,Adventure,Comedy,7100,2.89,0.95,150,592,437,300,296,7,1993,1.99,4.14,0.90,Drama,Comedy,Crime,Thriller,Action
158,8304,2.0,828497783,0,1995,Adventure,Children,"",2756,2.92,1.03,349,218,224,432,434,21,1993,1.52,3.24,1.00,Drama,Crime,Thriller,Comedy,Action
161,18992,3.0,1237933206,0,1995,Drama,Thriller,War,5113,3.74,0.80,541,454,253,357,587,59,1990,9.37,3.98,0.82,Drama,Thriller,Comedy,Action,Adventure
161,7711,4.0,837091660,1,1995,Drama,Thriller,War,5113,3.74,0.80,457,318,150,380,"",11,1992,1.94,3.45,1.21,Adventure,Thriller,Drama,Action,Comedy
164,23843,3.0,839632113,0,1995,Crime,Film-Noir,Mystery,978,3.48,0.84,348,733,497,431,373,94,1992,6.68,3.81,1.04,Drama,Romance,Comedy,Thriller,Adventure
165,22121,3.0,841364918,0,1995,Action,Crime,Thriller,7392,3.50,0.89,344,150,590,"","",8,1992,2.30,3.38,0.52,Adventure,Drama,Western,IMAX,Comedy
17,1436,4.0,847471556,1,1995,Drama,Romance,"",4556,3.97,0.94,527,911,858,70,541,100,1987,16.38,3.32,0.93,Drama,Comedy,Thriller,Romance,Crime
20,1436,2.0,840208191,0,1995,Action,Comedy,Crime,873,2.89,0.93,372,448,125,41,800,70,1994,1.44,3.30,0.92,Drama,Comedy,Thriller,Crime,Mystery
